country;Latitude (generated);Longitude (generated)
Uzbekistan;41,757;63,958
United States;40,0792;-98,8164
United Kingdom;52,289;-1,259
Ukraine;49,364;32,132
Turkey;39,144;34,188
Taiwan;23,6091;120,8353
Sweden;66,2188;19
Spain;40,617;-3,388
South Korea;36,338;128,16
South Africa;-31,7;23,441
Slovakia;48,8595;19,4434
Serbia;44,021;20,699
Russia;64,736;104,062
Poland;52,442;19,72
Norway;61,3701;9,3031
New Zealand;-42,558;172,377
Netherlands;52,1704;5,0102
Mongolia;46,516;102,564
Malaysia;4,416;102,099
Lithuania;55,342;24,23
Latvia;57,017;25,0173
Kazakhstan;48,866;69,772
Indonesia;-0,739;114,045
Hong Kong;22,4114;114,0599
Germany;51,3819;9,9877
France;46,656;2,543
Finland;62,716;26,192
Estonia;58,777;25,977
Denmark;56,113;9,096
Czech Republic;49,848;15,2812
China;35,1753;99,3877
Canada;59,2067;-111,1937
Bulgaria;42,625;24,521
Brazil;-11,694;-48,978
Bosnia and Herzegovina;44,342;17,804
Belgium;50,6745;4,4588
Azerbaijan;40,46;47,883
Australia;-24,578;133,582
Argentina;-33,166;-64,31
